File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
2-year_1_1_val_1_bismark_bt2_pe.bam	43221768	29954284	10698404	2569066	14	9661126	20293158	858564871	30916959	4905095	648759	183433182	2554152	636106724
2-year_2_1_val_1_bismark_bt2_pe.bam	141878821	94377420	40321499	7179872	30	39418652	54958768	2470065107	86464730	13545705	2367942	524340309	9526797	1833819624
2-year_3_1_val_1_bismark_bt2_pe.bam	240802532	164837294	64780251	11184920	67	63715731	101121563	4501309864	157455471	25533225	2974988	961864018	11406329	3342075833
2-year_4_1_val_1_bismark_bt2_pe.bam	220361334	149058202	59169652	12133397	83	52022594	97035608	4305426200	150287113	24063235	2911331	918380983	11300143	3198483395
E18pt5_1_1_val_1_bismark_bt2_pe.bam	112222009	77283181	29012497	5926313	18	28020808	49262373	2220400395	79866310	14224863	2181814	475614581	8104662	1640408165
E18pt5_2_1_val_1_bismark_bt2_pe.bam	66277133	48183690	14552471	3540952	20	14124920	34058770	1435096732	50042353	9302884	1309226	305945347	4994822	1063502100
E18pt5_3_1_val_1_bismark_bt2_pe.bam	259888762	182454816	63752472	13681402	72	70304111	112150705	4793657921	166288663	28972447	3689620	1020513722	14325898	3559867571
E18pt5_4_1_val_1_bismark_bt2_pe.bam	251027683	161095507	77795059	12137051	66	64083565	97011942	4310166781	149140107	25766656	3354771	919417148	12822399	3199665700
Week4_1_1_val_1_bismark_bt2_pe.bam	225335787	155524437	58964702	10846616	32	57845288	97679149	4274749465	147942465	24772850	2882312	911412410	11346451	3176392977
Week4_2_1_val_1_bismark_bt2_pe.bam	118284047	84832564	25995675	7455779	29	24847458	59985106	2511149699	90195135	16157134	2051957	540379173	7811757	1854554543
Week4_3_1_val_1_bismark_bt2_pe.bam	124699768	88041475	29804816	6853449	28	27308966	60732509	2536528051	91461214	16461672	1768376	546455985	6713050	1873667754
Week4_4_1_val_1_bismark_bt2_pe.bam	106911544	74576503	27050190	5284816	35	25839861	48736642	2111791172	73034175	11863507	1591984	447276135	6166434	1571858937
